id,generic_name,form,dosage,available,sale_type,price_tnd,lang
MED01095,Doxycycline,Oral suspension,850 mg,No,Prescription only,57.89,en
MED04325,Spironolactone,Oral suspension,100 µg/dose,No,Prescription only,23.84,en
MED04761,Iron (ferrous),Oral solution,250 mg,Yes,Prescription only,53.49,en
MED03677,Folic acid,Capsule,500 mg,No,Prescription only,72.95,en
MED03465,Losartan,Capsule,1 %,Yes,Prescription only,9.49,en
MED03104,Diazepam,Oral suspension,2 %,Yes,Prescription only,49.59,en
MED02750,Insulin glargine,Oral solution,300 mg,Yes,Prescription only,46.67,en
MED02296,Cetirizine,Tablet,850 mg,Yes,OTC,62.05,en
MED04193,Paracetamol,Injection,1000 mg,Yes,OTC,82.54,en
MED03709,Nystatin,Capsule,2 %,Yes,Prescription only,79.54,en
MED03019,Bromhexine,Oral suspension,300 mg,Yes,Prescription only,57.68,en
MED04253,Bisoprolol,Injection,850 mg,Yes,Prescription only,72.2,en
MED00804,Bromhexine,Capsule,1 %,No,Prescription only,4.2,en
MED04191,Hydrocortisone,Capsule,100 mg,No,Prescription only,25.33,en
MED03706,Zinc,Oral suspension,40 mg,No,Prescription only,28.73,en
MED00752,Aciclovir,Syrup,20 mg,No,Prescription only,14.83,en
MED04645,Diazepam,Inhaler,1 %,Yes,Prescription only,41.29,en
MED02532,Atorvastatin,Ointment,10 mg,No,OTC,19.01,en
MED00622,Sitagliptin,Cream,1000 mg,No,Prescription only,27.72,en
MED02298,Diclofenac,Tablet,100 µg/dose,No,Prescription only,4.58,en
MED03829,Diazepam,Tablet,1 %,Yes,Prescription only,12.59,en
MED00567,Azithromycin,Inhaler,5 mg/ml,No,Prescription only,18.71,en
MED01136,Fluoxetine,Capsule,850 mg,Yes,Prescription only,70.64,en
MED01205,Montelukast,Syrup,20 mg,Yes,Prescription only,20.51,en
MED01048,Propranolol,Cream,2 %,Yes,Prescription only,4.55,en
MED00052,Cetirizine,Oral solution,200 mg,No,OTC,7.13,en
MED03652,Escitalopram,Tablet,10 mg,Yes,Prescription only,4.19,en
MED01045,Doxycycline,Inhaler,1000 mg,No,Prescription only,32.49,en
MED02182,Magnesium,Capsule,20 mg,No,OTC,7.31,en
MED02689,Azithromycin,Oral suspension,5 mg/ml,Yes,Prescription only,60.4,en
MED00535,Sertraline,Inhaler,300 mg,No,Prescription only,53.22,en
MED03185,Rapid-acting insulin,Capsule,100 µg/dose,Yes,Prescription only,46.86,en
MED03858,Amlodipine,Cream,100 mg,Yes,Prescription only,34.73,en
MED00444,Montelukast,Ointment,40 mg,Yes,Prescription only,23.97,en
MED03605,Ambroxol,Capsule,40 mg,No,OTC,2.01,en
MED00196,Cetirizine,Oral suspension,40 mg,Yes,OTC,45.04,en
MED01116,Spironolactone,Oral suspension,100 mg,Yes,Prescription only,60.66,en
MED00766,Vitamin D3,Inhaler,850 mg,No,Prescription only,20.91,en
MED01946,Diclofenac,Ointment,100 µg/dose,No,Prescription only,31.67,en
MED03248,Salbutamol,Syrup,5 mg,Yes,OTC,46.02,en
MED03003,Guaifenesin,Capsule,100 µg/dose,No,Prescription only,65.02,en
MED01433,Spironolactone,Ointment,20 mg,Yes,Prescription only,47.36,en
MED04201,Guaifenesin,Inhaler,100 mg,No,OTC,22.32,en
MED03096,Ezetimibe,Cream,250 mg,No,Prescription only,32.78,en
MED02923,NPH insulin,Syrup,500 mg,No,Prescription only,11.19,en
MED00645,Sertraline,Inhaler,100 mg,Yes,Prescription only,5.93,en
MED01050,Vitamin D3,Inhaler,2 %,No,OTC,29.54,en
MED03746,Salbutamol,Syrup,100 mg,No,Prescription only,12.14,en
MED04094,Bisoprolol,Injection,5 mg/ml,Yes,Prescription only,28.28,en
MED04404,Sitagliptin,Inhaler,20 mg,No,Prescription only,94.28,en
MED00121,Fluoxetine,Tablet,250 mg,Yes,Prescription only,12.07,en
MED02053,Sitagliptin,Tablet,5 mg/ml,Yes,Prescription only,11.12,en
MED04259,Gliclazide,Oral solution,850 mg,No,Prescription only,2.5,en
MED04889,Pantoprazole,Inhaler,5 mg,No,Prescription only,9.19,en
MED04335,Cetirizine,Injection,300 mg,Yes,OTC,73.16,en
MED04692,Amoxicillin,Cream,5 mg/ml,No,Prescription only,8.09,en
MED00135,Rosuvastatin,Oral solution,850 mg,Yes,Prescription only,47.6,en
MED02461,Bisoprolol,Capsule,400 mg,No,Prescription only,17.71,en
MED01955,Fluoxetine,Inhaler,100 µg/dose,No,Prescription only,30.75,en
MED02464,Ramipril,Inhaler,400 mg,Yes,Prescription only,6.11,en
MED00185,Ambroxol,Oral suspension,250 mg,No,Prescription only,24.44,en
MED01393,Sitagliptin,Injection,2 %,Yes,Prescription only,74.81,en
MED02277,Azithromycin,Cream,200 mg,No,Prescription only,54.97,en
MED00512,Nystatin,Oral solution,20 mg,No,OTC,59.58,en
MED04730,Pantoprazole,Tablet,1000 mg,Yes,Prescription only,37.47,en
MED04055,Propranolol,Inhaler,400 mg,No,Prescription only,65.75,en
MED03138,Prednisone,Oral suspension,2 %,No,Prescription only,28.12,en
MED02670,Clindamycin,Injection,100 mg,Yes,Prescription only,6.19,en
MED04774,Prednisone,Ointment,100 µg/dose,No,Prescription only,61.04,en
MED04862,Atorvastatin,Cream,300 mg,No,Prescription only,38.61,en
MED02118,Furosemide,Inhaler,100 µg/dose,No,Prescription only,16.12,en
MED00252,Atorvastatin,Capsule,100 mg,No,Prescription only,78.4,en
MED03527,Ezetimibe,Inhaler,850 mg,Yes,Prescription only,89.34,en
MED03560,Bromhexine,Oral solution,100 mg,Yes,OTC,52.34,en
MED04012,Guaifenesin,Syrup,200 mg,No,OTC,5.6,en
MED01508,Magnesium,Injection,10 mg,No,Prescription only,94.17,en
MED00123,Escitalopram,Ointment,850 mg,No,Prescription only,9.27,en
MED04260,Cetirizine,Capsule,100 µg/dose,No,OTC,7.07,en
MED03334,Ambroxol,Ointment,400 mg,Yes,OTC,18.3,en
MED01872,Ezetimibe,Oral solution,40 mg,No,Prescription only,38.46,en
MED03693,Azithromycin,Syrup,5 mg,No,Prescription only,28.61,en
MED00568,Folic acid,Capsule,500 mg,No,OTC,67.6,en
MED01372,Pantoprazole,Oral solution,20 mg,No,Prescription only,60.62,en
MED03186,Clindamycin,Inhaler,40 mg,Yes,Prescription only,85.27,en
MED03956,Doxycycline,Syrup,1 %,Yes,Prescription only,51.11,en
MED01057,Magnesium,Injection,850 mg,Yes,Prescription only,48.18,en
MED00857,Insulin glargine,Inhaler,200 mg,No,Prescription only,91.46,en
MED03839,Magnesium,Oral solution,200 mg,No,Prescription only,52.89,en
MED02861,Fluoxetine,Cream,200 mg,No,Prescription only,37.0,en
MED04770,Naproxen,Oral suspension,1 %,No,OTC,46.34,en
MED00777,Furosemide,Syrup,1 %,No,Prescription only,42.53,en
MED00721,Clotrimazole,Ointment,5 mg,Yes,OTC,40.58,en
MED02711,NPH insulin,Ointment,850 mg,No,Prescription only,27.99,en
MED02655,Omeprazole,Capsule,300 mg,No,Prescription only,24.11,en
MED04878,Propranolol,Oral suspension,200 mg,No,Prescription only,9.74,en
MED00603,Spironolactone,Inhaler,250 mg,No,Prescription only,45.05,en
MED03823,Ranitidine,Capsule,5 mg/ml,Yes,Prescription only,47.11,en
MED01245,Guaifenesin,Tablet,5 mg,Yes,Prescription only,24.7,en
MED04846,Pantoprazole,Injection,300 mg,Yes,Prescription only,51.51,en
MED04842,NPH insulin,Tablet,5 mg,Yes,Prescription only,46.78,en
MED00319,Montelukast,Cream,200 mg,Yes,OTC,20.19,en
MED00829,Paracetamol,Tablet,1000 mg,No,Prescription only,34.4,en
MED03264,Bisoprolol,Inhaler,10 mg,No,Prescription only,20.26,en
MED00275,Clindamycin,Inhaler,250 mg,No,Prescription only,47.99,en
MED02665,Pantoprazole,Cream,100 µg/dose,Yes,Prescription only,26.37,en
MED00550,Gliclazide,Capsule,40 mg,No,OTC,9.27,en
MED03642,Insulin glargine,Tablet,2 %,Yes,Prescription only,25.92,en
MED04054,Furosemide,Injection,5 mg,Yes,Prescription only,80.61,en
MED04893,Losartan,Oral suspension,5 mg/ml,Yes,Prescription only,5.98,en
MED02935,Clindamycin,Oral solution,2 %,No,Prescription only,47.89,en
MED00606,Acetylsalicylic acid,Tablet,5 mg,Yes,OTC,11.67,en
MED00897,Bromhexine,Injection,850 mg,Yes,OTC,24.93,en
MED00528,Metformin,Oral suspension,40 mg,Yes,Prescription only,16.06,en
MED04608,Amlodipine,Injection,10 mg,No,Prescription only,71.25,en
MED02348,Ramipril,Inhaler,5 mg,No,Prescription only,21.81,en
MED03440,Furosemide,Injection,5 mg/ml,No,Prescription only,56.2,en
MED04999,Salbutamol,Injection,20 mg,No,Prescription only,74.03,en
MED04827,Ranitidine,Injection,5 mg/ml,No,OTC,83.04,en
MED03923,Ezetimibe,Oral suspension,20 mg,Yes,Prescription only,22.21,en
MED00299,Pantoprazole,Ointment,20 mg,Yes,Prescription only,45.98,en
MED02120,Furosemide,Syrup,100 mg,No,Prescription only,18.65,en
MED02537,Doxycycline,Capsule,100 mg,Yes,Prescription only,15.67,en
MED04204,Clotrimazole,Inhaler,400 mg,Yes,OTC,84.66,en
MED03255,Ciprofloxacin,Ointment,10 mg,No,Prescription only,34.44,en
MED03726,Ranitidine,Cream,1 %,Yes,Prescription only,52.02,en
MED01261,Pantoprazole,Ointment,100 mg,Yes,Prescription only,14.39,en
MED01559,Azithromycin,Oral suspension,10 mg,No,Prescription only,52.96,en
MED03270,Ambroxol,Oral solution,10 mg,Yes,OTC,17.3,en
MED04047,Folic acid,Cream,1 %,Yes,OTC,14.11,en
MED00757,Ciprofloxacin,Capsule,1000 mg,No,Prescription only,9.95,en
MED01011,Sitagliptin,Ointment,850 mg,Yes,Prescription only,22.02,en
MED02795,Losartan,Injection,500 mg,No,Prescription only,62.15,en
MED02906,Cetirizine,Oral solution,10 mg,No,OTC,62.51,en
MED01871,Cetirizine,Injection,40 mg,Yes,OTC,13.84,en
MED02230,NPH insulin,Cream,2 %,No,Prescription only,53.61,en
MED01174,Losartan,Oral suspension,5 mg,Yes,Prescription only,2.48,en
MED01833,Spironolactone,Capsule,200 mg,No,Prescription only,66.31,en
MED00377,Propranolol,Oral suspension,100 µg/dose,No,Prescription only,39.75,en
MED03854,Omeprazole,Oral solution,100 µg/dose,Yes,Prescription only,62.06,en
MED03617,Ciprofloxacin,Ointment,100 µg/dose,Yes,Prescription only,18.84,en
MED00799,Gliclazide,Oral solution,200 mg,Yes,Prescription only,18.23,en
MED00379,Atorvastatin,Injection,200 mg,No,OTC,27.93,en
MED01159,Montelukast,Inhaler,40 mg,Yes,OTC,18.64,en
MED03820,Ibuprofen,Cream,1000 mg,No,Prescription only,18.25,en
MED02793,Amlodipine,Syrup,10 mg,No,Prescription only,30.06,en
MED02241,Diazepam,Cream,250 mg,Yes,Prescription only,19.44,en
MED04036,Nystatin,Injection,5 mg,Yes,OTC,89.61,en
MED02663,Vitamin D3,Cream,850 mg,Yes,Prescription only,45.97,en
MED04013,NPH insulin,Tablet,1000 mg,No,Prescription only,40.36,en
MED02958,Amlodipine,Oral solution,100 µg/dose,No,Prescription only,41.64,en
MED03928,Salbutamol,Tablet,400 mg,Yes,OTC,19.81,en
MED01039,Diazepam,Injection,100 µg/dose,Yes,Prescription only,77.63,en
MED03260,Sitagliptin,Syrup,1000 mg,No,Prescription only,13.01,en
MED01345,Ambroxol,Capsule,100 mg,Yes,OTC,40.14,en
MED02506,Nystatin,Oral solution,100 mg,No,Prescription only,41.08,en
MED01722,Naproxen,Oral solution,850 mg,No,Prescription only,5.68,en
MED04664,Azithromycin,Syrup,850 mg,Yes,Prescription only,26.15,en
MED00176,Ramipril,Oral suspension,20 mg,No,Prescription only,6.29,en
MED04894,Vitamin D3,Syrup,5 mg,Yes,OTC,62.45,en
MED01910,Ketoprofen,Inhaler,100 µg/dose,No,OTC,86.76,en
MED00046,Sitagliptin,Syrup,200 mg,Yes,Prescription only,39.27,en
MED03410,Paracetamol,Injection,5 mg/ml,Yes,OTC,42.94,en
MED04675,Aciclovir,Ointment,5 mg/ml,Yes,OTC,14.92,en
MED01076,Folic acid,Syrup,2 %,Yes,Prescription only,20.6,en
MED02830,Bisoprolol,Oral solution,250 mg,No,Prescription only,22.87,en
MED01505,Ibuprofen,Capsule,5 mg,Yes,Prescription only,31.21,en
MED02310,Bromhexine,Injection,200 mg,No,Prescription only,25.16,en
MED01437,Cetirizine,Ointment,2 %,Yes,Prescription only,61.48,en
MED02419,Vitamin D3,Ointment,850 mg,Yes,OTC,38.08,en
MED03987,Bisoprolol,Tablet,5 mg,No,Prescription only,74.1,en
MED03099,Amoxicillin,Capsule,2 %,No,Prescription only,52.75,en
MED04589,Guaifenesin,Capsule,2 %,No,Prescription only,52.81,en
MED00284,Clotrimazole,Oral suspension,300 mg,No,OTC,60.03,en
MED04919,Aciclovir,Syrup,850 mg,No,OTC,13.07,en
MED00843,Ibuprofen,Cream,200 mg,No,Prescription only,62.37,en
MED01514,Sitagliptin,Oral suspension,500 mg,No,Prescription only,16.44,en
MED01169,Iron (ferrous),Inhaler,850 mg,Yes,OTC,55.67,en
MED01593,Omeprazole,Ointment,300 mg,No,Prescription only,6.17,en
MED03461,Sitagliptin,Inhaler,2 %,Yes,Prescription only,41.73,en
MED03166,Fluoxetine,Oral solution,5 mg,No,Prescription only,7.82,en
MED02285,Metformin,Ointment,40 mg,Yes,Prescription only,4.94,en
MED03576,Rapid-acting insulin,Inhaler,10 mg,No,Prescription only,19.39,en
MED04871,Folic acid,Oral suspension,500 mg,No,Prescription only,14.49,en
MED02306,Clotrimazole,Injection,20 mg,Yes,OTC,64.34,en
MED00953,NPH insulin,Oral suspension,1 %,Yes,Prescription only,47.82,en
MED04943,Zinc,Cream,100 µg/dose,Yes,OTC,41.16,en
MED03054,Nystatin,Syrup,20 mg,No,OTC,14.95,en
MED04560,Bisoprolol,Syrup,500 mg,No,Prescription only,13.6,en
MED02686,Diclofenac,Syrup,500 mg,No,Prescription only,57.22,en
MED01490,Diazepam,Cream,20 mg,No,Prescription only,60.9,en
MED00928,Aciclovir,Tablet,1 %,No,Prescription only,28.82,en
MED01210,Ezetimibe,Ointment,250 mg,No,Prescription only,9.73,en
MED03974,Ciprofloxacin,Cream,1 %,No,Prescription only,46.75,en
MED03546,Acetylsalicylic acid,Oral suspension,850 mg,No,OTC,25.55,en
MED04362,Ibuprofen,Inhaler,300 mg,No,Prescription only,16.76,en
MED01922,Bisoprolol,Capsule,1000 mg,Yes,Prescription only,43.37,en
MED00352,Rosuvastatin,Inhaler,20 mg,Yes,Prescription only,33.85,en
MED04899,Ezetimibe,Syrup,500 mg,Yes,Prescription only,15.68,en
MED03394,Omeprazole,Capsule,10 mg,No,OTC,18.74,en
MED02722,Azithromycin,Ointment,300 mg,Yes,Prescription only,3.22,en
MED04982,Bromhexine,Injection,250 mg,Yes,Prescription only,41.05,en
MED00719,Escitalopram,Capsule,10 mg,Yes,Prescription only,63.4,en
MED02703,Ranitidine,Injection,200 mg,No,OTC,17.62,en
MED02723,Nystatin,Tablet,10 mg,No,Prescription only,40.68,en
MED04562,Guaifenesin,Injection,500 mg,Yes,OTC,72.35,en
MED00309,Hydrocortisone,Inhaler,200 mg,Yes,Prescription only,80.75,en
MED01676,NPH insulin,Syrup,850 mg,No,Prescription only,9.43,en
MED00834,Prednisone,Syrup,2 %,No,Prescription only,41.89,en
MED00367,Ambroxol,Cream,20 mg,No,OTC,18.25,en
MED04507,Metformin,Inhaler,250 mg,Yes,Prescription only,63.56,en
MED02079,Doxycycline,Tablet,1000 mg,Yes,Prescription only,71.42,en
MED04039,Hydrocortisone,Inhaler,300 mg,No,OTC,68.95,en
MED04847,Rapid-acting insulin,Inhaler,100 mg,Yes,Prescription only,75.33,en
MED04480,Salbutamol,Cream,100 mg,Yes,OTC,4.82,en
MED01747,Diclofenac,Capsule,5 mg/ml,No,Prescription only,69.96,en
MED00020,Azithromycin,Ointment,1 %,No,Prescription only,14.79,en
MED01323,Vitamin D3,Inhaler,400 mg,No,OTC,35.07,en
MED03568,Gliclazide,Oral suspension,100 mg,Yes,OTC,35.77,en
MED02522,Bromhexine,Inhaler,1000 mg,No,OTC,48.68,en
MED00219,Aciclovir,Syrup,100 µg/dose,Yes,Prescription only,46.45,en
MED01488,Diclofenac,Capsule,1 %,No,Prescription only,45.54,en
MED00439,Ranitidine,Oral suspension,20 mg,No,OTC,56.35,en
MED04175,Sitagliptin,Inhaler,5 mg/ml,Yes,Prescription only,53.03,en
MED02751,Doxycycline,Syrup,1 %,No,Prescription only,16.04,en
MED03289,Salbutamol,Injection,1 %,No,OTC,25.17,en
MED03434,Ketoprofen,Tablet,300 mg,Yes,OTC,13.63,en
MED02526,Ramipril,Syrup,100 µg/dose,No,Prescription only,58.28,en
MED04651,Diazepam,Syrup,200 mg,No,Prescription only,3.01,en
MED03689,Clindamycin,Inhaler,100 mg,Yes,Prescription only,11.23,en
MED02764,Cetirizine,Inhaler,20 mg,Yes,Prescription only,52.65,en
MED00803,Magnesium,Syrup,1000 mg,No,OTC,9.4,en
MED02998,Loratadine,Ointment,200 mg,Yes,OTC,37.07,en
MED02229,Vitamin D3,Oral solution,1000 mg,No,Prescription only,52.7,en
MED04786,Ranitidine,Injection,100 µg/dose,No,Prescription only,6.13,en
MED02078,Insulin glargine,Oral solution,2 %,No,Prescription only,6.89,en
MED00583,Spironolactone,Inhaler,5 mg/ml,Yes,Prescription only,89.53,en
MED00204,Folic acid,Ointment,10 mg,Yes,OTC,27.42,en
MED04347,Diclofenac,Oral solution,1000 mg,Yes,Prescription only,36.97,en
MED03479,Paracetamol,Inhaler,10 mg,Yes,Prescription only,90.71,en
MED02930,Metformin,Syrup,1000 mg,No,Prescription only,44.41,en
MED03086,Fluoxetine,Injection,400 mg,No,Prescription only,35.55,en
MED01019,Ezetimibe,Inhaler,40 mg,Yes,Prescription only,93.59,en
MED01584,Ibuprofen,Injection,250 mg,Yes,OTC,70.83,en
MED01033,Sertraline,Injection,300 mg,No,Prescription only,62.26,en
MED01719,Magnesium,Injection,250 mg,No,Prescription only,78.33,en
MED01282,Montelukast,Ointment,5 mg,Yes,Prescription only,43.87,en
MED02499,Salbutamol,Oral suspension,100 mg,No,Prescription only,59.81,en
MED03351,Fluoxetine,Inhaler,100 mg,No,Prescription only,65.29,en
MED00518,Gliclazide,Oral suspension,200 mg,No,OTC,61.87,en
MED01748,Aciclovir,Oral solution,5 mg/ml,No,Prescription only,43.73,en
MED04653,Insulin glargine,Injection,2 %,Yes,Prescription only,73.14,en
MED03733,Bromhexine,Ointment,20 mg,No,Prescription only,34.0,en
MED00669,Nystatin,Tablet,1 %,Yes,OTC,9.93,en
MED04060,Metformin,Oral suspension,250 mg,No,Prescription only,37.57,en
MED03027,Naproxen,Capsule,1 %,Yes,Prescription only,78.14,en
MED04933,Insulin glargine,Oral solution,1 %,Yes,Prescription only,60.52,en
MED03287,Azithromycin,Cream,40 mg,Yes,Prescription only,53.84,en
MED02651,Naproxen,Cream,1 %,No,OTC,58.3,en
MED04454,Prednisone,Oral suspension,300 mg,Yes,Prescription only,1.81,en
MED03193,Amoxicillin,Syrup,850 mg,Yes,Prescription only,10.55,en
MED02125,Prednisone,Injection,5 mg/ml,Yes,Prescription only,22.5,en
MED03376,Insulin glargine,Oral suspension,5 mg/ml,Yes,Prescription only,45.39,en
MED03393,Ezetimibe,Oral solution,100 mg,Yes,Prescription only,60.56,en
MED03486,Guaifenesin,Oral solution,850 mg,No,Prescription only,52.2,en
MED00760,Amoxicillin,Inhaler,5 mg,Yes,Prescription only,15.13,en
MED03380,Ibuprofen,Inhaler,400 mg,No,OTC,39.18,en
MED04441,Metformin,Inhaler,300 mg,Yes,Prescription only,37.71,en
MED02527,Hydrocortisone,Ointment,300 mg,Yes,OTC,49.61,en
MED04859,Pantoprazole,Capsule,20 mg,No,Prescription only,41.02,en
MED00908,Hydrocortisone,Capsule,850 mg,No,OTC,74.73,en
MED02684,Amoxicillin,Oral suspension,100 mg,No,Prescription only,39.98,en
MED00215,Acetylsalicylic acid,Injection,2 %,No,Prescription only,46.62,en
MED03332,Loratadine,Cream,1000 mg,Yes,Prescription only,52.16,en
MED04459,Gliclazide,Injection,5 mg/ml,Yes,OTC,46.66,en
MED00694,Ibuprofen,Cream,1000 mg,No,OTC,38.26,en
MED01504,Ramipril,Oral suspension,400 mg,No,Prescription only,18.54,en
MED02415,Iron (ferrous),Injection,850 mg,Yes,OTC,62.67,en
MED02119,Ramipril,Oral solution,850 mg,Yes,Prescription only,59.93,en
MED03859,Ambroxol,Inhaler,2 %,Yes,Prescription only,55.99,en
MED02463,Hydrocortisone,Cream,1000 mg,Yes,OTC,48.79,en
MED03636,Prednisone,Tablet,200 mg,No,Prescription only,3.18,en
MED04106,Clindamycin,Tablet,20 mg,No,Prescription only,74.65,en
MED04479,Guaifenesin,Syrup,100 mg,No,OTC,43.7,en
MED00197,Naproxen,Tablet,400 mg,Yes,OTC,58.19,en
MED04668,Zinc,Capsule,300 mg,No,OTC,50.02,en
MED01544,Spironolactone,Ointment,10 mg,No,Prescription only,33.9,en
MED01331,Azithromycin,Ointment,5 mg,No,Prescription only,9.79,en
MED00880,Losartan,Oral solution,850 mg,No,Prescription only,53.07,en
MED04503,Prednisone,Oral solution,1000 mg,No,Prescription only,17.89,en
MED03502,Sitagliptin,Capsule,1 %,Yes,Prescription only,21.92,en
MED03895,Magnesium,Oral solution,100 mg,No,OTC,52.31,en
MED04991,Rapid-acting insulin,Oral solution,200 mg,No,Prescription only,23.43,en
MED00888,Prednisone,Injection,2 %,No,Prescription only,73.65,en
MED01346,Ambroxol,Capsule,10 mg,Yes,OTC,30.26,en
MED00069,Ramipril,Cream,20 mg,No,Prescription only,16.01,en
MED04211,Losartan,Tablet,500 mg,Yes,Prescription only,23.04,en
MED01816,Ramipril,Syrup,40 mg,No,Prescription only,10.78,en
MED00569,Bromhexine,Cream,400 mg,No,OTC,39.78,en
MED02168,Escitalopram,Oral suspension,250 mg,No,Prescription only,59.74,en
MED00097,Salbutamol,Injection,300 mg,No,Prescription only,45.15,en
MED04182,Insulin glargine,Capsule,850 mg,Yes,Prescription only,68.51,en
MED03354,Clindamycin,Injection,10 mg,Yes,Prescription only,32.89,en
MED00140,Ciprofloxacin,Inhaler,500 mg,Yes,Prescription only,29.37,en
MED04955,Magnesium,Oral suspension,200 mg,No,Prescription only,13.76,en
MED02603,Ibuprofen,Capsule,20 mg,Yes,Prescription only,3.51,en
MED04024,Sertraline,Tablet,1 %,Yes,Prescription only,24.44,en
MED04773,Rosuvastatin,Oral suspension,400 mg,No,Prescription only,34.32,en
MED01607,Bisoprolol,Syrup,850 mg,No,Prescription only,33.79,en
MED01630,Spironolactone,Tablet,1000 mg,No,Prescription only,14.89,en
MED01540,Amlodipine,Inhaler,2 %,Yes,Prescription only,65.6,en
MED01695,Ketoprofen,Cream,20 mg,No,Prescription only,56.66,en
MED02060,Propranolol,Syrup,250 mg,No,Prescription only,30.81,en
MED00464,Gliclazide,Oral solution,200 mg,Yes,Prescription only,5.67,en
MED02331,Ranitidine,Oral solution,20 mg,Yes,OTC,25.22,en
MED03044,Ranitidine,Cream,20 mg,Yes,OTC,7.38,en
MED04735,Azithromycin,Ointment,400 mg,Yes,Prescription only,11.81,en
MED00595,Ramipril,Ointment,20 mg,Yes,Prescription only,54.11,en
MED03815,Salbutamol,Oral suspension,200 mg,No,OTC,28.57,en
MED00626,Clindamycin,Cream,1 %,Yes,Prescription only,13.75,en
MED00451,NPH insulin,Oral suspension,2 %,No,Prescription only,12.48,en
MED01500,Magnesium,Syrup,5 mg/ml,No,OTC,50.38,en
MED02457,Hydrocortisone,Injection,20 mg,No,OTC,12.2,en
MED04723,Ezetimibe,Injection,500 mg,No,Prescription only,85.7,en
MED02985,Loratadine,Tablet,1 %,Yes,Prescription only,36.9,en
MED01570,Cetirizine,Cream,1000 mg,No,Prescription only,31.39,en
MED01035,Salbutamol,Capsule,5 mg/ml,No,Prescription only,27.01,en
MED03519,Pantoprazole,Syrup,200 mg,No,Prescription only,8.94,en
MED01558,Bromhexine,Inhaler,100 µg/dose,No,Prescription only,85.25,en
MED03625,NPH insulin,Injection,1000 mg,No,Prescription only,19.46,en
MED04665,Propranolol,Syrup,500 mg,No,Prescription only,63.33,en
MED00151,Acetylsalicylic acid,Oral suspension,5 mg/ml,No,Prescription only,17.5,en
MED01421,Ezetimibe,Ointment,500 mg,Yes,Prescription only,21.56,en
MED02012,Amoxicillin,Cream,1 %,No,Prescription only,43.67,en
MED02687,Zinc,Injection,2 %,Yes,Prescription only,15.65,en
MED01787,Bisoprolol,Capsule,5 mg,Yes,Prescription only,10.33,en
MED00089,Rapid-acting insulin,Capsule,20 mg,Yes,Prescription only,73.99,en
MED00458,Escitalopram,Oral solution,10 mg,No,Prescription only,13.9,en
MED01306,Insulin glargine,Inhaler,1000 mg,No,Prescription only,15.1,en
MED02926,Propranolol,Ointment,40 mg,Yes,Prescription only,49.87,en
MED03271,Insulin glargine,Ointment,1000 mg,No,Prescription only,10.3,en
MED03228,Furosemide,Oral solution,1 %,Yes,Prescription only,48.51,en
MED01989,Azithromycin,Injection,5 mg/ml,No,Prescription only,95.89,en
MED03755,Sitagliptin,Injection,5 mg,Yes,Prescription only,89.24,en
MED03647,Amlodipine,Injection,100 µg/dose,Yes,Prescription only,7.24,en
MED00832,Paracetamol,Tablet,500 mg,No,Prescription only,22.18,en
MED00240,Prednisone,Oral suspension,5 mg/ml,No,Prescription only,13.0,en
MED04682,Ketoprofen,Ointment,100 µg/dose,No,OTC,32.56,en
MED03023,Fluoxetine,Cream,2 %,Yes,Prescription only,43.03,en
MED03149,Prednisone,Oral suspension,850 mg,Yes,Prescription only,61.9,en
MED01947,Diclofenac,Oral solution,5 mg,Yes,Prescription only,35.71,en
MED02776,Omeprazole,Capsule,1000 mg,Yes,OTC,57.82,en
MED00193,Ambroxol,Oral solution,40 mg,Yes,OTC,59.38,en
MED04850,Iron (ferrous),Oral solution,300 mg,Yes,Prescription only,48.84,en
MED04940,Sertraline,Inhaler,20 mg,No,Prescription only,15.35,en
MED00945,Hydrocortisone,Ointment,200 mg,Yes,Prescription only,50.39,en
MED01269,Nystatin,Cream,10 mg,Yes,Prescription only,10.86,en
MED04232,Montelukast,Injection,5 mg,No,OTC,79.45,en
MED02308,Diclofenac,Cream,1 %,No,Prescription only,53.26,en
MED04425,Escitalopram,Ointment,5 mg,Yes,Prescription only,40.76,en
MED04712,Sertraline,Inhaler,250 mg,No,Prescription only,86.28,en
MED02314,Sertraline,Oral suspension,400 mg,No,Prescription only,52.78,en
MED03215,Amlodipine,Capsule,40 mg,Yes,Prescription only,18.59,en
MED02733,Losartan,Cream,40 mg,Yes,Prescription only,28.41,en
MED01927,Clotrimazole,Capsule,1000 mg,Yes,Prescription only,58.65,en
MED04228,Azithromycin,Inhaler,100 mg,Yes,Prescription only,45.45,en
MED04677,Insulin glargine,Oral solution,1 %,Yes,Prescription only,39.63,en
MED00801,Bromhexine,Cream,5 mg,No,OTC,23.28,en
MED03672,Folic acid,Injection,400 mg,Yes,Prescription only,45.59,en
MED04194,Paracetamol,Ointment,10 mg,Yes,OTC,53.79,en
MED02969,Ketoprofen,Oral solution,250 mg,No,OTC,59.56,en
MED04794,Nystatin,Oral suspension,5 mg,Yes,OTC,48.45,en
MED04369,Clotrimazole,Cream,100 µg/dose,No,OTC,46.25,en
MED02777,Nystatin,Injection,100 mg,Yes,OTC,93.91,en
MED02971,Ambroxol,Ointment,400 mg,No,Prescription only,31.39,en
MED03868,Clotrimazole,Inhaler,850 mg,Yes,OTC,46.35,en
